周口市公共资源交易中心评标结果公示
项目名称,商水县康庄大道（人和路-溵川大道）新建工程
招标单位,商水县住房和城乡建设局,联系电话,13608424569
代理机构（盖章）,河南省诚挚招标管理有限公司,联系电话,18337185317
监督单位,商水县住建局,联系电话,0394-5449937
开标日期,2019年08月07日,公示结束日期,2019年08月10日
标段名称,中标候选人名称,投标金额（元/%）,项目经理/项目总监/项目负责人,工期（天）,质量
1标段,第一候选人,河南派普建工集团有限公司,42400998.7200,赵伏军,120,合格
第二候选人,中地寅岗建设集团有限公司,42400658.0300,张小磊,120,合格
第三候选人,中商建投建设有限公司,42401286.1300,穆亚君,120,合格
2标段,第一候选人,河南省生态园林绿化建设有限公司,21890748.4400,常盼霞,120,合格
第二候选人,河南省宏岩建设有限公司,21894604.9500,万建坡,120,合格
第三候选人,河南省华岩建设工程有限公司,21886448.9600,贾楠楠,120,合格
3标段,第一候选人,河南泛安工程监理有限公司,1.7600,栗连功,120,合格
第二候选人,河南泰昌建设管理咨询有限公司,1.8000,李玉明,120,合格
第三候选人,河南华科工程技术有限公司,1.8000,孙宝瑞,120,合格
4标段,第一候选人,河南建威工程管理咨询有限公司,1.7500,程珂,120,合格
第二候选人,河南四方建设管理有限公司,1.7600,于强,120,合格
第三候选人,河南顺成建设工程管理有限公司,1.7800,黄红涛,120,合格
自本评标结果公示之日起三日内，对公示结果没有异议的，将发布中标结果公告，如有其他情况，再行公告。
