水利工程施工招标中标公示表
招标项目编号:,JLZX-SG2015-141,工程项目名称:,吉林省中小河流雾开河德惠市治理工程（入饮马河河口至布海公路桥段）
招标人名称:,德惠市水利工程项目建设管理办公室,招标代理机构:,吉林省中鑫工程建设招投标有限责任公司
开标时间:,2015-09-17,评标地点:,吉林省政务大厅四楼
招标方式:,公开招标,项目所在地:,德惠市境内
该工程已完成了评标工作，现将推荐的中标候选人排序公式如下:
第一中标候选人:,吉林省庆源水利水电工程有限公司,中标价（万元）,1690.5588
第二中标候选人:,吉林省第二松花江防汛机动抢险队,中标价（万元）,1690.6355
第三中标候选人:,吉林省天源水利水电工程有限公司,中标价（万元）,1701.3566
第一中标候选人拟任主要管理人员
项目经理:,沈建北,技术负责人:,高静
质检员:,侯玉贤,安全人:,唐磊
评标委员会成员
徐国旗、殷淑仕,闫雪莲
王春凤,张凌萍
公式时间
"2015-09-18至2015-09-24,为5工作日"
联系人:,盛焱焱,联系电话:,0431-89235507
发布时间:,2015-09-18,,
