采购项目名称,四川省乐山市市中区通江街道社区卫生服务中心和疾病预防控制中心联建项目排污管道工程
采购项目编号,SZQ-GCCG-15034
采购方式,竞争性谈判
行政区划,四川省乐山市市中区
公告类型,征求意见公示
公告发布时间到公告截至时间,2015-12-02 17:30 到 2015-12-07 17:00
采 购 人,四川省乐山市市中区通江街道社区卫生服务中心和疾病预防控制中心
采购代理机构名称,乐山市市中区政府采购中心
项目包个数,1
各包采购内容,附件
各包供应商资格条件,详见附件
各包技术参数指标,详见附件
采购人地址和联系方式,联 系 人:潘建英                                 电    话:18981300722
采购代理机构地址和联系方式,联 系 人:李先生                             电    话:0833-2192933
采购项目联系人姓名和电话,联 系 人:李先生                             电    话:0833-2192933
其它内容,
备注:,
