采购单位,惠州大亚湾经济技术开发区社会事务管理局
项目名称,大亚湾霞涌义联大岭村小组饮水管网提升工程采购造价咨询服务
采购编号,4413046997250472005260257
采购模式,直购模式
项目规模,"投资额（￥2,077,465.48元）"
服务类型,工程造价咨询
服务内容,根据内容、要求，按国家及建筑行业前期工程咨询标准、技术规范、规程进行造价咨询，并提供符合质量的工程量清单、工程预算书、审核报告等。
资质要求,"报名参加本次采购服务的公司需取得国家住建部或住建厅核发的《工程造价咨询资格证书》，专业为工程造价咨询，资质等级为乙级以上（含乙级），并已入驻惠州市中介超市的企业。
								点击查看资质专业要求"
,多个资质子项符合其一即可工程造价咨询乙级工程造价咨询
服务时限,签订合同收到甲方提供的有关资料后，7日内依据施工图编制工程量清单、工程预算书，并提交工程量清单、工程预算书、审核报告6份。 上述成果文件需同时提供所有文字（易达软件格式）的电子文件（刻录到光盘）。
服务金额,"￥7,200.00元"
金额说明,工程造价咨询费用为:7200元（包干价），工程造价咨询服务金额按工程造价咨询收费标准《广东省物价局关于调整我省建设工程造价咨询服务收费的函复》（粤价函2011742号），该项目造价咨询费用为7200元。
直购企业,北京中兴恒工程咨询有限公司
截止报名时间,2020-05-27 17:30
采购单位电话,惠州大亚湾经济技术开发区社会事务管理局（13829920290）
投诉质疑,惠州市公共资源交易中心大亚湾分中心（0752-5191961）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,大亚湾霞涌义联大岭村小组饮水管网提升工程采购造价咨询服务需求书.pdf
