项目业主:,佛山市顺德区陈村镇建设工程管理中心
项目名称:,陈村镇梁钊林小学扩建工程（一期）勘察
项目编号:,ZC2019（SD）SC00977
是否工程建设项目:,否
项目规模:,"投资额（￥42,500,000.00元）"
服务类型:,工程勘察
服务内容:,按照甲方以及设计单位要求进行工程勘察，并完成勘察成果报告，最终通过第三方审核。
服务标的物基本情况:,学校现时有12个教学班，计划扩建为36个教学班规模的小学，适合作为教室的室场已经全部使用，并没有体育馆，为满足教学需求，需要配套新建一栋教学楼、一栋综合楼和体育馆，计划新增建筑22173.21㎡。
中介机构要求:,资质（资格）要求
资质（资格）要求说明:,"具备岩土工程勘察专业甲级资质
								查看资质等级树"
其他要求说明:,无
服务时限:,无要求，按照合同双方自行约定
服务费用:,暂不做评估与测算
费用说明:,勘察总进尺的长度为基准，以《工程勘察和设计收费标准2002》为基础，均同意用105元/m计取。
回避的中介服务机构:,
回避理由:,
符合资格的中介服务机构应当在选取公告发布至2019年03月18日17时30分期间（不少于2个工作日）通过网上中介服务超市报名（不接受现场报名）。
公开选取方式:,随机抽取
是否启用备选,否
公开选取时间:,2019年03月19日 09:14
公开选取地址:,顺德区德民路行政服务中心东座二楼
项目业主联系人:,张嘉焮
项目业主咨询电话:,15007567011（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:,暂无附件
