单位名称,最终得分,技术标总得分,商务标总得分,技术标评委1,技术标评委2,技术标评委3,技术标评委4,技术标评委5
山东天辰智能停车设备有限公司,93.44,28.5,58.94,28.8,28.8,28.2,27.4,28.5
青岛德盛利立体停车设备有限公司,90.81,26.7,59.11,26.7,26.7,26.7,26.7,27.9
山东莱钢泰达车库有限公司,94.39,29.13,59.26,29.2,29.1,28.6,29.3,29.1
江苏普腾停车设备有限公司,93.28,27.5,59.78,27.6,27.5,27.3,27.4,29.3
青岛茂源金属集团有限公司,92.78,27.97,58.81,27.8,27.6,28.0,28.1,28.2
江苏中泰停车产业有限公司,92.25,28.03,58.22,28.2,27.6,28.1,27.8,28.5
杭州西子石川岛停车设备有限公司,94.73,31.37,57.37,31.2,31.5,31.4,31.5,30.2
江苏润邦智能停车设备有限公司,93.20,27.77,59.44,27.7,27.8,27.8,27.0,29.0
山东恒升智能停车系统有限公司,82.67,23.10,59.57,23.1,23.2,22.9,23.0,24.1
上海新泊乐停车设备有限公司,91.71,27.13,58.58,27.3,26.9,27.2,26.3,27.3
山东齐星铁塔科技股份有限公司,91.07,25.37,59.7,25.5,25.2,25.4,23.9,26.4
