采购项目名称,犍为县教育体育局2017年中小学生校服采购
采购项目编号,QWJY-ZCGZ-201740
采购预算金额（元）,"5,878,000"
采购方式,公开招标
行政区划,四川省
公告类型,结果公告
公告发布时间,2017-12-0115:00:00
采购人,犍为县教育体育局
更正公告,
采购代理机构名称,集采机构
项目包个数,1
采购结果总金额（元）,"586,500"
定标日期,2017-11-2917:30:00
各包中标/成交供应商名称、地址及报价,成都市蓝鸟服装有限公司（综合得分:91.93分，中标价:5865000元）
各包合同履行日期,
评审委员会成员名单,彭成林，丁福友，龙茜，文林，闵乾君
采购人地址和联系方式,1.地址:犍为县教育体育局2.联系人:周先生、陈女士3.联系电话:0833-4226901
采购代理机构地址和联系方式,1.地址:犍为县公共资源交易服务中心（县文体中心旁档案馆四楼），邮编:614000。2.联系人:乔先生联系电话:0833-4233201
采购项目联系人姓名和电话,1.地址:犍为县教育体育局2.联系人:周先生、陈女士3.联系电话:0833-4226901
候选人公告连接,.
备注,第一名:成都市蓝鸟服装有限公司（综合得分:91.93分，中标价:5865000.00元）;第二名:成都雅朗服装有限公司（综合得分:91.45分，报价:5292000分）;第三名:成都圣禧诺服饰有限公司（综合得分:87.4分，报价:4990800.00元）
