工程编码,130182180045-001,所属地区,石家庄市藁城市
工程名称,藁城区城市生活垃圾卫生填埋场渗滤液处理站升级改造项目
建设单位,石家庄市藁城区城市管理局
招标方式,公开招标,招标性质,施工招标
计划开工日期,2018-10-01,计划竣工日期,2018-11-09
资金来源,区财政
建筑总面积,
代理单位,全信项目管理咨询有限公司
第1中标候选人,河北旭杰环境工程有限公司
第2中标候选人,河北国全环境工程有限公司
第3中标候选人,河北华鹏建筑安装工程有限公司
中标范围,工程量清单范围内的全部工程
中标日期,2018-09-25,中标价,407.66 万元
项目经理,段新萍
中标工期,40 天,工程质量,合格
参加投标企业,全信项目管理咨询有限公司河北华鹏建筑安装工程有限公司河南省润轩建筑工程有限公司河北国全环境工程有限公司河北旭杰环境工程有限公司河北泽辉市政工程有限公司
投标文件被判为 废标的投标人,名称及编码: 河北泽辉市政工程有限公司废标原因: 电子版光盘上传过程中显示数据解析错误，无法上传依据: 据招标文件前附表2.3.1款规定“投标文件电子版导入计算机辅助评标系统时，无法正常导入进行评标工作的，按无效投标处理
备注,参加投标单位:河北华鹏建筑安装工程有限公司河南省润轩建筑工程有限公司河北国全环境工程有限公司河北旭杰环境工程有限公司河北泽辉市政工程有限公司（备注:全信项目管理咨询有限公司为招标代理机构，因操作不当，错把全信项目管理咨询有限公司输入到投标单位，故为无效投标单位。）
