项目业主:	佛山市机关事务管理局
项目名称:	经华大厦7~12楼中央空调制冷及排风系统维修改造工程（一期）工程造价咨询
项目编号:	ZC2019（SZ）ZX00816
是否工程建设项目:	否
项目规模:	平方米（4,960平方米）
服务类型:	工程造价咨询
服务内容:	对经华大厦7~12楼中央空调制冷及排风系统维修改造工程（一期）进行预算编制工作。
服务标的物基本情况:	近期将对经华大厦7~12楼的中央空调的制冷及排风系统实施维修改造。
中介机构要求:	资质（资格）要求
资质（资格）要求说明:	具有甲级工程造价咨询资质，报名时已在佛山市建筑诚信评价体系管理平台登记备案。
								查看资质等级树
其他要求说明:	无
服务时限:	无要求，按照合同双方自行约定
服务费用:	暂不做评估与测算
费用说明:	参照粤价函[2011]742号国家收费规定。
公开选取方式:	直接选取
公开选取时限:	本公告发布后1个工作日内
项目业主联系人:	钟银英
项目业主咨询电话:	13823455162（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:	暂无附件
