采购部门名称,云南航空大都市发展投资有限公司
采购项目名称,昆明空港经济区周家山农村公益性公墓建设项目水土保持报告编制服务
服务类型,水土保持方案编制
服务内容,项目总用地面积为183亩，分二期实施，一期占地约50亩，二期占地约133亩，建设内容主要包括:墓区建设、道路、交通、绿化景观及相关附属工程。本次选取本项目涉及范围内的水土保持方案编制实施单位。按要求完成水土保持方案编制，且成果资料须通过有关部门组织的评审，取得专家评审意见及相关行政主管部门备案证明，并提供相关后续服务。
服务时限,自合同签订之日起15个日历天内完成
服务金额,"￥128,000.00元
		                                 	  至 ￥160,000.00元"
金额说明,无
资质要求,（1）投标人须具备独立法人资格，营业执照真实、有效;（2）投标人须具备国家相关行政主管部门核发的水土保持方案编制乙级及以上资质，并在人员、设备、资金等方面具备相应服务能力的单位。（3）昆明市外来企业须出具在昆明市注册成立具有法人资格企业及所在地办公场所相关证明。（原件备查） 查看资质等级树
个性化需求,无
从业人员要求,项目负责人要求:拟派往本项目的项目负责人应具备水土保持方案编制岗位培训证，并具备工程师及其以上职称资格，且登记于本单位，并提供劳动合同、社保缴纳证明材料;拟派往本项目的项目负责人2017年1月1日至今承担过（包含已完成或在实施项目）至少（含）1个合同金额15万元及以上水土保持方案编制的项目业绩。需提供中标通知书或合同协议书或相关证明材料（相关证明材料指:能证明本项目是项目负责人组织完成的）。
项目业绩要求,企业业绩要求:投标人2017年1月1日至今承担过（包含已完成或在实施项目）至少（含）2个合同金额15万元及以上的水土保持方案编制的项目业绩（需提供中标通知书或合同协议书或相关证明材料等）。
机构特殊要求,无
选取中介方式,网上竞价+随机抽取
是否启用候选,是
候选机构数,3
截止报名时间,2020-04-23 17:00
公开选取中介地址,昆明市投资审批中介超市
公开选取中介时间,2020-04-24 09:00
合同要件或专用条款,无
业主咨询电话,0871-63331712（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务金额和政策法规等相关内容的咨询。）
技术咨询电话,0871-68226897（关于报名操作、竞价操作、摇号操作等系统操作的技术咨询。）
监督投诉电话,0871-63121371（社会监督与投诉。）
备注,
附件下载,暂无附件
