太和县2020年义务教育改薄提升工程第三批次建设项目中标候选人公示
项目名称:,太和县2020年义务教育改薄提升工程第三批次建设项目
项目编号:,THXGC20200024
招标方式:,公开招标
开标时间:,2020年07月01日
公示时间:,2020年07月02日 至 2020年07月06日
第一中标候选人:,安徽坤固建设工程有限公司
资质证书:,建筑工程施工总承包叁级
证书编号:,D334210894
中标价:,3600519.0000元
综合分:,0.00
工期:,180日历天
质量:,合格
项目负责人:,宋文标
注册证书:,建筑工程二级注册建造师
编号:,皖234060804691
企业业绩业绩:,/
企业奖项名称:,/
项目负责人业绩:,/
项目负责人奖项:,/
资料公示:,点此浏览企业信息 、
第二中标候选人:,安徽景硕市政工程有限公司
资质证书:,建筑工程施工总承包叁级
证书编号:,D334080816
中标价:,3601086.0000元
综合分:,0.00
工期:,180日历天
质量:,合格
项目负责人:,汪杰
注册证书:,建筑工程二级注册建造师
编号:,皖234131453443
企业业绩业绩:,/
企业奖项名称:,/
项目负责人业绩:,/
项目负责人奖项:,/
资料公示:,点此浏览企业信息 、
第三中标候选人:,安徽鸿森建设工程有限公司
资质证书:,建筑工程施工总承包叁级
证书编号:,D334057464
中标价:,3602059.0000元
综合分:,0.00
工期:,180日历天
质量:,合格
项目负责人:,席建永
注册证书:,建筑工程二级注册建造师
编号:,皖234070804693
企业业绩业绩:,/
企业奖项名称:,/
项目负责人业绩:,/
项目负责人奖项:,/
资料公示:,点此浏览企业信息 、
本项目投标人:,
1、,安徽茶马道路工程有限公司
,点此浏览企业信息 、综合分: 0.00
2、,安徽公汇建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
3、,安徽标创建设有限公司
,点此浏览企业信息 、综合分: 0.00
4、,安徽宝峰建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
5、,安徽金亚建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
6、,淮北驭程建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
7、,安徽省瑞麒盛建筑有限公司
,点此浏览企业信息 、综合分: 0.00
8、,安徽筑业建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
9、,安徽德志建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
10、,安徽共济工程技术有限公司
,点此浏览企业信息 、综合分: 0.00
11、,安徽东江鸿业建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
12、,安徽省凯祥建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
13、,芜湖市豪迈建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
14、,安徽景硕市政工程有限公司
,点此浏览企业信息 、综合分: 0.00
15、,安徽开路建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
16、,安徽广辰建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
17、,安徽鸿森建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
18、,安徽驰象建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
19、,安徽嘉强建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
20、,安徽达路市政工程有限公司
,点此浏览企业信息 、综合分: 0.00
21、,安徽平顺建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
22、,安徽邦彦建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
23、,安徽江鹏建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
24、,安徽同辉建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
25、,安徽国振建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
26、,安徽大跃建设工程有限公司
,点此浏览企业信息 、综合分: 0.00
27、,安徽智睿建筑工程有限公司
,点此浏览企业信息 、综合分: 0.00
28、,安徽宏亚建筑有限公司
,点此浏览企业信息 、综合分: 0.00
29、,安徽凌一装饰设计工程有限公司
