采购单位,惠东县大岭镇人民政府
项目名称,惠东县大岭街道桥星村委会搭棚和修补工程采购造价咨询服务（预算编制）
采购编号,4413230072029831807230042
项目规模,"投资额（￥41,000.00元）"
服务类型,工程造价咨询
服务内容,按选取人提供的设计图纸编制惠东县大岭街道桥星村委会搭棚和修补工程预算编制。
资质要求,"（一）已在中国境内注册，在法律、财务上独立，合法运作的独立法人，且经营范围必须满足本次公开选取范围，并已入驻惠州市中介超市的企业。
（二）中选企业必须具备建设行政主管部门核发的工程造价咨询企业乙级或以上资质。

								点击查看资质专业要求"
,需同时符合所有选中资质子项工程造价咨询乙级工程造价咨询
服务时限,中选单位中选后3个工作日内与选取人签订合同，合同签订后5个工作日内完成预算编制。
服务金额,"￥1,000.00元"
金额说明,本项目收费依据按照粤价2011742号收费标准及市场调节价，服务金额暂定为1000元，最终结算以财政审定的收费运行结算。
选取方式,随机抽取
选取地址,惠东县城新平大道209号惠东县行政服务中心二楼中介服务大厅（选择到现场的中介机构需带营业执照或组织机构代码证复印件并加盖公章于公开选取时间前15分钟到中介超市咨询台登记）
截止报名时间,2018-07-25 12:00
选取时间,2018-07-25 15:00
采购单位电话,惠东县大岭镇人民政府（13829969326）
投诉质疑,惠东县行政服务中心（0752-8801996）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,惠东县大岭街道桥星村委会搭棚和修补工程采购造价咨询服务（预算编制）.pdf
