采购单位名称,四川省绵阳市涪城区人力资源和社会保障局
采购项目编号,绵涪政采询（2018）44号
采购方式,询价采购
采购组织单位,绵阳市涪城区人民政府采购中心
采购组织单位地址,绵阳市涪城区高平路2号（涪城区政务服务中心四楼）
采购组织单位联系方式,绵阳市涪城区人民政府采购中心交易组织股0816-8116263
采购人,四川省绵阳市涪城区人力资源和社会保障局
采购人地址,四川省绵阳市涪城区文庙街8号
采购人联系方式,0816-2266531
项目联系人,谭娟
公告发布时间,2018年10月08日
项目包个数,1
中标日期,2018年09月26日
本项目采购公告日期,2018年09月19日16时47分
总中标总金额,83520 元
中标详细内容,绵阳市捷卡物联网科技有限公司                                                                        投标报价:83520元供应商地址:四川省绵阳市科创区创新中心2号楼230室读卡器德卡（T6）制卡器华昌电子（312HU）
中标供应商信息,绵阳市捷卡物联网科技有限公司
谈判小组、询价小组成员名单及单一来源采购人名单,吴熙、俞国俊、谭娟
项目用途、简要技术要求及合同履行日期,
其他补充事宜,
候选人公告链接,
采购人和评审专家的推荐意见（采用书面推荐供应商参加的采购活动必填）,
行业划分,
评审情况,
备注,
PPP项目标识,否
