序号,物资描述,计量单位,采购数量,税率,交货日期,报价要求
1,热轧普通碳素H型钢 HM148*100*6*9 Q235B,吨,5.5600,0.17,2015-06-05,技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
2,热轧普通碳素H型钢 HW100*100*6*8 Q235B,吨,5.2000,0.17,2015-06-05,技术标准:GB/T3091-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
3,普通碳素槽钢 10 Q235B,吨,0.6000,0.17,2015-06-15,技术标准:GB/T707-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂九洲防腐厂（纬五路）工程部位:收料人姓名:赵文斌15037235199，韩华丽13482839734
4,普通碳素槽钢 14a Q235B,吨,1.8000,0.17,2015-06-07,技术标准:GB/T707-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂区2030冷轧项目部工程部位:收料人姓名:韩华丽13482839734，陈建13818556130
5,普通碳素槽钢 14a Q235B,吨,2.1600,0.17,2015-06-05,技术标准:GB/T707-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
6,普通碳素槽钢 16a Q235B,吨,5.2000,0.17,2015-06-07,技术标准:GB/T707-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂区2030冷轧项目部工程部位:收料人姓名:韩华丽13482839734，陈建13818556130
7,普通碳素槽钢 18a Q235B,吨,0.6400,0.17,2015-06-05,技术标准:GB/T707-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
8,普通碳素等边角钢 ∠75*75*6mm Q235B,吨,3.6000,0.17,2015-06-07,技术标准:GB/T9787-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂区2030冷轧项目部工程部位:收料人姓名:韩华丽13482839734，陈建13818556130
9,普通碳素等边角钢 ∠75*75*6mm Q235B,吨,0.2800,0.17,2015-06-05,技术标准:GB/T9787-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂内纬一路五冶钢结构厂工程部位:收料人姓名:联系方式:朱莎18688596567，韩华丽13482839734
10,普通碳素等边角钢 ∠80*80*6mm Q235B,吨,0.7500,0.17,2015-06-15,技术标准:GB/T9787-2008计量方式:理计付款方式:现金送货地点:湛江钢铁厂九洲防腐厂（纬五路）工程部位:收料人姓名:赵文斌15037235199，韩华丽13482839734
