项目业主:,佛山市南海区狮山镇联表社区居民委员会
项目名称:,联表西经济社公园升级改造及篮球场升级改造项目
项目编号:,ZC2020（NH）ZX03773
是否工程建设项目:,否
项目规模:,"投资额（￥420,000.00元）"
服务类型:,测绘
服务内容:,对联表西经济社公园升级改造及篮球场升级改造项目开展测绘工作。
服务标的物基本情况:,1、铺装过于简单，树池、花池已破损，缺少党建景观小品，绿化景观有待提升;2、篮球场不够美观，停车场影响篮球场的使用
中介机构要求:,资质（资格）要求
资质（资格）要求说明:,"详见资质等级树
								查看资质等级树"
其他要求说明:,无
服务时限:,无要求，按照合同双方自行约定
服务费用:,暂不做评估与测算
费用说明:,按照《测绘工程产品价格》（国测财字[2002]3号）收费标准
公开选取方式:,直接选取
公开选取时限:,本公告发布后1个工作日内
项目业主联系人:,关倩莹
项目业主咨询电话:,15627771992（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:,暂无附件
