采购单位,惠州市惠阳区新圩镇约场村民委员会
项目名称,约场村中心民乐广场采购工程设计服务
采购编号,441303ME19105682004220175
采购模式,直购模式
项目规模,"投资额（￥910,000.00元）"
服务类型,工程设计
服务内容,"1,根据内容、要求,按国家建筑设计标准、技术规范、规程、定额进行设计,并提供符合质量的设计文件、图纸、设计概算（设计图纸套数及设计概算文件资料份数必须满足实际需要份数） 2、设计文件中严格控制出现的遗漏或错误;工程开工前,进行施工前技术交底,解决施工中的有关设计问题,负责设计变更和修改预算,参加隐蔽工程验收和竣工验收."
资质要求,"报名参加本次采购服务的公司需取得国家住建部或住建厅核发的《工程设计资质证书》,专业为建筑工程设计,资质等级为工程设计专业乙级以上并已入驻惠州市中介超市的企业。
								点击查看资质专业要求"
,多个资质子项符合其一即可工程设计乙级工程设计综合资质/行业资质/专业资质建筑建筑工程
服务时限,10个工作日
服务金额,"￥32,760.00元"
金额说明,"按惠州市财政局工程预算、标底造价审定书审定金额为准工程总造价，根据2002国家发展计划委员会,建设部《工程勘察设计收费标准》计算设计费"
直购企业,广州博厦建筑设计研究院有限公司
截止报名时间,2020-04-26 16:00
采购单位电话,惠州市惠阳区新圩镇约场村民委员会（13927388923）
投诉质疑,惠州市惠阳区行政服务中心（0752-3919811）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,工程设计需求书.pdf工程设计说明书.jpg
