项目业主:,佛山市机关事务管理局
项目名称:,经华机关食堂更换LED灯盘工程造价咨询（结算审核）
项目编号:,ZC2019（SZ）WX01158
是否工程建设项目:,否
项目规模:,"投资额（￥8,751.85元）"
服务类型:,工程造价咨询
服务内容:,对工程造价咨询企业在建筑工程计价活动中，出具有虚假记载、误导性陈述的工程造价成果文件的，记入工程造价咨询企业信用档案的情况进行鉴定。
服务标的物基本情况:,经华机关食堂更换LED灯盘工程合同金额为8751.85元。
中介机构要求:,资质（资格）要求
资质（资格）要求说明:,"具有乙级工程造价咨询资质，报名时已在佛山市建设诚信评价体系管理平台登记备案。
								查看资质等级树"
其他要求说明:,无
服务时限:,无要求，按照合同双方自行约定
服务费用:,低于或等于500元
费用说明:,本项目总投资8751.85元，参照粤价函[2011]742号国家收费规定，本项目的造价咨询费（结算审核）的上限价为2000元。
回避的中介服务机构:,
回避理由:,
符合资格的中介服务机构应当在选取公告发布至2019年10月29日17时30分期间（不少于2个工作日）通过网上中介服务超市报名（不接受现场报名）。
公开选取方式:,网上询价
是否启用备选,否
公开选取时间:,"2019年10月30日 09:30
								
									自公开选取时间开始10分钟后截止报价"
公开选取地址:,佛山市禅城区季华五路公交大厦六楼中介超市运营部
项目业主联系人:,杨伟珍
项目业主咨询电话:,18988659272（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:,暂无附件
