周口市公共资源交易中心中标公告
项目名称	淮阳县2019年农业生产基础设施建设项目
招标单位	淮阳县农业农村局
代理机构（盖章）	河南正信工程咨询有限公司
监督单位	淮阳县发改委
标段名称	中标人名称	中标金额	项目经理/项目总监/项目负责人	证书编号	工期（天）	质量
1标段	河南省同宇建筑工程有限公司	887659.2100元	黄娜	01991385	120	合格
2标段	小米建设发展有限公司	871758.5400元	马志举	01980214	120	合格
3标段	河南新时代市政工程有限公司	1202075.9600元	李堃	00790919	120	合格
4标段	四川锦瑞隆建设工程有限公司	1219724.6200元	张磊先	01050876	120	合格
5标段	河南中岳建设工程有限公司	926351.0800元	安谦谦	01220426	120	合格
6标段	河南省万昌建筑工程有限公司	882393.0100元	贾彦朝	01978689	120	合格
7标段	河南祥鹰市政工程有限公司	926911.0200元	赵跃彬	01222937	120	合格
8标段	河南省泉纲建筑工程有限公司	899688.8100元	宋亚萍	01707002	120	合格
9标段	林州中港建筑工程有限公司	1069582.4900元	曾山	豫241161691537	120	合格
10标段	河南紫源建筑工程有限公司	1036408.0200元	程闯	01228816	120	合格
11标段	创恒建设有限公司	1050046.9300元	徐玉锋	01504084	120	合格
12标段	河南易事建设工程有限公司	957397.3500元	石伟亮	01381571	120	合格
13标段	一水建设有限公司	1660784.6100元	金栋	01712465	120	合格
14标段	河南旭峰建筑工程有限公司	1327311.6500元	杨鹏飞	00365016	120	合格
15标段	周口乾瑞水利工程有限公司	1251577.2100元	丁玉灵	01514412	120	合格
16标段	河南炳焱建筑工程有限公司	1870208.8900元	李君豪	01380856	120	合格
17标段	河南道源建设工程有限公司	958168.5000元	马利南	01516470	120	合格
18标段	河南晟平建筑工程有限公司	1061776.8700元	黄永兴	01370888	120	合格
19标段	河南莫尔斯特农业装备有限公司	1088552.5200元	杜雨伟	01516822	120	合格
20标段	河南瑞通水利水电工程有限公司	1164248.4500元	王斌	豫241161939916	120	合格
21标段	河南力来建设工程有限公司	1531659.0900元	张金瑞	01515344	120	合格
22标段	河南公泰建设工程有限公司	1588168.5700元	李凯	01227820	120	合格
23标段	河南金兆建设有限公司	1101457.3900元	胡彬	01710181	120	合格
24标段	河南安汇建设工程有限公司	1180365.1800元	赵双超	01501253	120	合格
25标段	河南金泉建筑工程有限公司	1145037.9600元	杨雪莉	01706687	120	合格
26标段	河南省春秋建设工程有限公司	1023610.4400元	黄彬	00631665	120	合格
27标段	河南乐泰建筑工程有限公司	1328234.6300元	张艳涛	01707488	120	合格
28标段	河南建基建设工程有限公司	1059581.3900元	夏福明	00985131	120	合格
29标段	河南润春建设工程有限公司	1087654.8900元	王信春	01979091	120	合格
31标段	陕西北春建设工程有限公司	1650653.8500元	齐碧	陕261171806930	120	合格
32标段	河南美肯建设工程有限公司	1304876.1600元	朱云岭	00983092	120	合格
33标段	河南超远建筑工程有限公司	1280623.7500元	申俊防	豫241181834562	120	合格
34标段	河南京都建筑安装有限公司	1078944.5900元	徐保祥	01900989	120	合格
35标段	河南永鑫路桥工程有限公司	1064849.2300元	沈壮超	豫241171940235	120	合格
36标段	河南飞腾建筑有限公司	1073411.7000元	孙嘉伟	00987669	120	合格
37标段	宙宏建设集团有限公司	973125.0000元	高寒	01511048	120	合格
38标段	河南润来水利工程有限公司	1345244.6000元	秦洪亮	01976806	120	合格
39标段	河南亿瑞水利建筑工程有限公司	1270445.0700元	杨丽颍	00246292	120	合格
40标段	河南恒通水利水电工程有限公司	1313400.0000元	唐万里	00072396	120	合格
41标段	河南志超市政工程有限公司	1275914.0600元	王浩	01377743	120	合格
42标段	中地寅岗建设集团有限公司	1324667.4500元	娄小姣	01909480	120	合格
43标段	河南文水水电工程有限公司	1346804.8000元	郝浩斌	00983889	120	合格
44标段	河南林润建设工程有限公司	1280338.0200元	曾广博	豫241171721605	120	合格
45标段	河南大东建筑工程有限公司	1345115.6300元	赵新颖	00983727	120	合格
46标段	河南成盈建设工程有限公司	1263643.1100元	董春叶	00245029	120	合格
47标段	林州兴业建筑工程有限公司	1115676.7000元	郜海军	00135404	120	合格
48标段	河南省正源水利工程有限责任公司	1172295.8700元	陈艳辉	00784113	120	合格
49标段	河南佰图建设工程有限责任公司	1216909.8300元	徐浩田	01979516	120	合格
50标段	河南锦达建设有限公司	1377686.2100元	陈小芳	01518508	120	合格
51标段	河南盛世永昌建设工程有限公司	1423885.5400元	钟华	01978121	120	合格
52标段	临泉县培德水利工程有限公司	1479724.5000元	刘海玉	02065767	120	合格
53标段	河南新鹏水利工程有限公司	1287133.8000元	刘广辉	豫241151570289	120	合格
54标段	驻马店德山建筑工程有限公司	958220.6800元	刘向阳	01988882	120	合格
55标段	河南鼎瑞和水利工程有限公司	1404836.6700元	廉国伟	01898513	120	合格
56标段	周口锦航建设工程有限公司	1429018.5400元	商宝合	00784213	120	合格
57标段	河南铭宇市政园林工程有限公司	1459470.3100元	郑弘彬	01901510	120	合格
58标段	河南鹏彦建筑工程有限公司	1196555.1700元	王新华	00988179	120	合格
59标段	河南旭日建设工程有限公司	1264952.5000元	张佳乐	01515817	120	合格
60标段	中水京林建设有限公司	1064131.3200元	李亚飞	01376521	120	合格
61标段	河南万融建筑工程有限公司	1167675.5100元	崔文峰	01219841	120	合格
62标段	河南省美华工程科技有限公司	850832.8500元	苑志磊	01386560	120	合格
63标段	河南华中山水环境建设有限公司	910056.0200元	霍阳辉	01219816	120	合格
64标段	河南林正建设工程有限公司	827240.3100元	蒋永乐	0167216	120	合格
65标段	河南航通水利工程有限公司	1492655.4100元	李东明	01973408	120	合格
66标段	河南广基建设工程有限公司	905325.8600元	李义真	00988435	120	合格
67标段	河南顺正建筑工程有限公司	1323373.7600元	王莉	01709229	120	合格
68标段	河南省汇川建设工程有限公司	1059298.8900元	张秀兰	01901742	120	合格
69标段	陕西凯风盈创建设工程有限公司	1478031.1700元	王慧维	陕261161700559	120	合格
70标段	河南省华岩建设工程有限公司	786901.5300元	张志勇	01900049	120	合格
71标段	河南益祥建筑工程有限公司	627314.3800元	刘克政	00986321	120	合格
72标段	河南隆云建设工程有限公司	592915.7000元	朱双喜	01972457	120	合格
73标段	河南泉润园林建设工程有限公司	607493.0400元	孟文娟	01372093	120	合格
74标段	河南业辉水利建筑工程有限公司	1036416.3800元	关江超	01510998	120	合格
75标段	河南星际建设工程有限公司	844380.2300元	曹莹	01227164	120	合格
76标段	河南省中恒建筑工程有限公司	1089784.6100元	吕凤蕊	01899149	120	合格
77标段	河南锦城建筑工程有限公司	1053273.7900元	程登攀	00785535	120	合格
78标段	河南得华建筑工程有限公司	785718.8100元	金好松	01372992	120	合格
