采购单位	惠州市惠东公路管理局
项目名称	惠东县高潭革命老区潮惠高速连接线   工程杨梅水中洞段防洪影响评价报告编制服务
采购编号	4413234566859682009210180
采购模式	直购模式
项目规模	投资额（￥141,100.00元）
服务类型	工程项目咨询
服务内容	编制防洪评价报告; 承办防洪评价报告评审会会务工作。
资质要求	.需在国家发展和改革委员会全国投资项目在线审批监管平台备案，资质等级要求:工程咨询（水利水电）乙级以上（含乙级）资质;并已入驻惠州市中介超市的企业。
								点击查看资质专业要求
	多个资质子项符合其一即可工程咨询乙级工程咨询专业资信水利水电项目咨询
服务时限	收到基础设计资料后15日历天内提交《惠东县高潭革命老区潮惠高速连接线工程杨梅水中洞段防洪影响评价》。
服务金额	￥141,100.00元
金额说明	惠东县高潭革命老区潮惠高速连接线工程杨梅水中洞段防洪影响评价根据县财政局的审核意见为14.11万元。
直购企业	广州市方腾水利水电勘测设计有限公司
截止报名时间	2020-09-22 17:30
采购单位电话	惠州市惠东公路管理局（0752-8802352）
投诉质疑	惠东县行政服务中心（0752-8801996）
监督举报	惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载	防洪影响评价报告编制服务需求书.pdf直购说明.pdf
