采购单位,惠州市惠城区人民政府江南街道办事处
项目名称,江南街道梅湖片区统征地（老村后）围蔽项目采购工程预算编制服务
采购编号,4413020071919972005110270
采购模式,直购模式
项目规模,"投资额（￥438,400.00元）"
服务类型,工程造价咨询
服务内容,本工程围蔽面积24.88万平方米，总投资估算为43.84万元人民币。对本工程进行编制预算、跟踪并对预算审定等后续服务（具体以选取单位的实际委托为准）。
资质要求,"需取得国家住建部或省住建厅核发的《工程造价咨询资质证书》,资质等级为乙级以上并入驻惠州中介超市。（报名过程如遇到问题，请联系惠州市中介超市管理办公室电话，0752-2898785）
								点击查看资质专业要求"
,多个资质子项符合其一即可工程造价咨询乙级工程造价咨询
服务时限,合同签订后5个工作日内完成
服务金额,"￥3,000.00元"
金额说明,本次服务金额定为3000元，为合同包干价。
直购企业,衡正国际工程咨询有限公司
截止报名时间,2020-05-13 09:15
采购单位电话,惠州市惠城区人民政府江南街道办事处（13360878588）
投诉质疑,惠州市惠城区行政服务中心（0752-7809988）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,需求书.pdf
