采购单位	博罗县泰美镇人民政府
项目名称	博罗县泰美镇三径村2019美丽乡村年建设度项目建设工程采购工程设计服务
采购编号	4413220071986462001060286
采购模式	直购模式
项目规模	投资额（￥4,570,000.00元）
服务类型	工程设计
服务内容	本项目主要建设内容为泰美镇三径村2019年美丽乡村建设年度项目库的所有项目建设工程，总投资约为457万元。按有关要求及技术标准对项目进行图纸设计、提交相关成果、配合做好项目施工现场技术指导及竣工验收等后续服务。
资质要求	1、已在中国境内注册，在法律上、财务上独立，合法运作的独立法人，且经营范围满足本次公开选取范围。 2、参加本次采购服务的公司必须取得国家住建部或省住建厅核发的《工程设计资质证书》，专业为建筑工程，资质等级为乙级或以上，并在人员组成结构等方面具有相应的设计能力。
								点击查看资质专业要求
	多个资质子项符合其一即可工程设计乙级工程设计综合资质/行业资质/专业资质建筑建筑工程
服务时限	中选单位中选后3个日历天内签订合同，合同签订后15日历天内完成委托的服务事项工作内容并提交设计施工图成果。
服务金额	￥114,250.00元
金额说明	本工程设计费采用固定包干价114250.00元。
直购企业	广州黄埔建筑设计院有限公司
截止报名时间	2020-01-17 15:30
采购单位电话	博罗县泰美镇人民政府（13824240252）
投诉质疑	博罗县行政服务中心（0752-6299308）
监督举报	惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载	三径直购设计说明书.pdf博罗县泰美镇三径村2019年美丽乡村年度项目采购工程设计服务需求书2020.1.pdf
