项目业主:,佛山市第五人民医院
项目名称:,佛山市第五人民医院64排以上螺旋CT
项目编号:,ZC2019（NH）ZX01569
是否工程建设项目:,否
项目规模:,"投资额（￥10,000,000.00元）"
服务类型:,政府采购代理
服务内容:,提供政府采购代理服务。
服务标的物基本情况:,佛山市第五人民医院64排以上螺旋CT
中介机构要求:,资质（资格）要求
资质（资格）要求说明:,"具有政府采购代理资质，具有独立法人资格，并持有工商行政管理部门核发的法人营业执照，按国家法律经营;与招标人过去3年内无合同履约纠纷。
								查看资质等级树"
其他要求说明:,无
服务时限:,无要求，按照合同双方自行约定
服务费用:,暂不做评估与测算
费用说明:,根据《计价格20021980号》和《发改价格[2011]534号》文件以及相关法律法规规定的收费标准执行，由中标人支付代理服务费。
公开选取方式:,直接选取
公开选取时限:,本公告发布后1个工作日内
项目业主联系人:,麦羡强
项目业主咨询电话:,18823247135（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:,暂无附件
