采购单位,惠州市实验中学
项目名称,惠州市实验中学消火栓系统维修工程购买工程监理服务
采购编号,4413004566596121906110106
采购模式,直购模式
项目规模,"投资额（￥950,000.00元）"
服务类型,工程监理
服务内容,1.工程位于惠州市实验中学校内，实施内容为对惠州州市实验中学校内（包括校区、教学用房及宿舍等）存在安全隐患的消火栓、消防管进行维修更换。2.根据内容、要求，按国家建筑设计标准、技术规范、规程、定额进行监理。工程造价为约95万元。按选取单位提供的设计文件和有关资料及说明，对本项目进行施工及保修阶段的监理工作（具体以施工图纸、清单及选取单位的书面通知为准）。
资质要求,"1、已在中国境内注册，在法律上、财务上独立，合法运作的独立法人，且经营范围必须满足本次公开选取范围;
2、必须具有国家住建部或住建厅核发的《工程监理资质证书》，房屋建筑工程专业，资质等级为乙级及以上，并已入驻惠州市中介超市的企业。

								点击查看资质专业要求"
,多个资质子项符合其一即可工程监理乙级工程监理综合房屋建筑工程一般公共建筑高耸构筑工程住宅工程
服务时限,中选后，须于5个工作日内提交《申请安排工程监理报告》交选取单位审批 。
服务金额,"￥21,300.00元"
金额说明,本工程监理费服务金额为合同包干价21300元
直购企业,亿诚建设项目管理有限公司
截止报名时间,2019-06-17 11:30
采购单位电话,惠州市实验中学（0752-2275223）
投诉质疑,惠州市行政服务中心（0752-2898785）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,合并_消火栓维修工程监理服务需求书1.pdf
