序号,编号,名称,位置,数量,业态,租赁期限,租金递增率,起始价,竞买保证金,增价幅度
1,ZC（CZ）:201910-0001,崇州市青年公苑一期商铺9-7,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,35988元/年,20000元,100元/年或其整数倍
2,ZC（CZ）:201910-0002,崇州市青年公苑一期商铺10-4,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,37519.20元/年,20000元,100元/年或其整数倍
3,ZC（CZ）:201910-0003,崇州市青年公苑一期商铺13-1,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,61977元/年,20000元,100元/年或其整数倍
4,ZC（CZ）:201910-0004,崇州市青年公苑一期商铺13-3,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,34254元/年,20000元,100元/年或其整数倍
5,ZC（CZ）:201910-0005,崇州市青年公苑一期商铺13-4,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,44008.92元/年,20000元,100元/年或其整数倍
6,ZC（CZ）:201910-0006,崇州市青年公苑一期商铺14-1,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,63336元/年,20000元,100元/年或其整数倍
7,ZC（CZ）:201910-0007,崇州市青年公苑一期商铺14-2,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,85296.24元/年,20000元,100元/年或其整数倍
8,ZC（CZ）:201910-0008,崇州市青年公苑一期商铺19-1,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,32876.28元/年,20000元,100元/年或其整数倍
9,ZC（CZ）:201910-0009,崇州市青年公苑一期商铺19-2,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,32876.28元/年,20000元,100元/年或其整数倍
10,ZC（CZ）:201910-0010,崇州市青年公苑一期商铺20-3,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,36278.28元/年,20000元,100元/年或其整数倍
11,ZC（CZ）:201910-0011,崇州市青年公苑一期商铺20-4,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,52795.80元/年,20000元,100元/年或其整数倍
12,ZC（CZ）:201910-0012,崇州市青年公苑一期商铺21-2,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,34133.40元/年,20000元,100元/年或其整数倍
13,ZC（CZ）:201910-0013,崇州市青年公苑一期商铺21-4,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,34133.40元/年,20000元,100元/年或其整数倍
14,ZC（CZ）:201910-0014,崇州市青年公苑一期商铺22-1,崇州市大划镇捷普园区青年公苑一期,1个,禁止网吧、KTV、电玩、游戏厅、餐饮。,5年,无,44850.24元/年,20000元,100元/年或其整数倍
