项目业主:	佛山市妇幼保健院
项目名称:	佛山市妇女儿童医院建设项目（厨房、餐厅系统采购）
项目编号:	ZC2019（SZ）ZX00063
是否工程建设项目:	否
项目规模:	投资额（￥9,700,000.00元）
服务类型:	政府采购代理
服务内容:	提供政府采购代理服务
服务标的物基本情况:	佛山市妇女儿童医院建设项目（厨房、餐厅系统采购）
中介机构要求:	资质（资格）要求
资质（资格）要求说明:	具有有效的政府采购代理资质。具有独立法人资格，并持有工商行政管理部门核发的法人营业执照，按国家法律经营;与招标人过去3年内无合同履约纠纷。已在广东省政府采购网代理机构库备案。
								查看资质等级树
其他要求说明:	目前没有处于被责令停业的状态;没有处于被建设行政主管部门取消投标资格的处罚期内;没有处于财产被接管、冻结、破产的状态;与本项目的招标人没有隶属关系或其他利害关系。
服务时限:	无要求，按照合同双方自行约定
服务费用:	￥86,940.00元
费用说明:	采购中标价确定后，以中标金额为计费基数，根据国家发展计划委员会颁发的[2002]1980号文《招标代理服务收费管理暂行办法》及发改价格[2011]534号文规定，按货物类招标计算出标准招标代理服务费。如按中标金额计算的标准招标代理服务费低于暂定招标代理服务费，则以中标金额计算的标准招标代理服务费金额作为本项目的招标代理服务费。否则，本项目招标代理服务费按暂定招标代理服务费金额执行。
公开选取方式:	直接选取
公开选取时限:	本公告发布后1个工作日内
项目业主联系人:	邓福生
项目业主咨询电话:	18988663984（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:	暂无附件
