项目业主:,佛山市三水区大塘镇国土城建和水务局
项目名称:,大塘村村委会镇郊村排水设施改造工程监理
项目编号:,ZC2019（SS）ZX05032
是否工程建设项目:,否
项目规模:,"投资额（￥130,000.00元）"
服务类型:,工程监理
服务内容:,提供监理服务，包括施工前期准备阶段、施工阶段、验收阶段、工程保修阶段的监理工作，对工程各阶段进行质量、安全、进度、投资等管理和控制，协调工程建设各方及相关单位的工作关系。在工程施工期间必须委派监理人员常驻施工现场，及时做好工程施工过程各种监理信息的收集、整理和归档，向建设单位汇报工作进度等。
服务标的物基本情况:,本工程位于三水区大塘镇镇郊村，工程项目总投资共约:13万元，工程内容:硬底化等。
中介机构要求:,资质（资格）要求
资质（资格）要求说明:,"市政公用工程城市道路工程监理资质丙级或以上资质。
								查看资质等级树"
其他要求说明:,无
服务时限:,自发出开工令之日起60个日历天，具体与施工工期一致
服务费用:,暂不做评估与测算
费用说明:,本工程监理费最终以相关财政部门审定预算建安工程费的1.5%作为计费标准并下浮5%进行计算。
公开选取方式:,直接选取
公开选取时限:,本公告发布后1个工作日内
项目业主联系人:,邓庆昌
项目业主咨询电话:,13927299963（关于采购服务的资质专业与等级要求，服务内容、时限要求，服务费用和政策法规等相关内容的咨询。）
附件下载:,暂无附件
