采购单位,博罗县石坝镇人民政府
项目名称,2020年度惠州市博罗县石坝镇蓝田村等3个村现有耕地提质改造项目采购土地规划编制服务
采购编号,4413220071987342007160180
采购模式,直购模式
项目规模,平方米（307780.0平方米）
服务类型,土地规划
服务内容,1.项目可行性研究报告编制; 2.项目设计; 3.业主方的工程验收材料编制;
资质要求,"1.已在中国境内注册，在法律上、财务上独立，合法运作的独立法人，且经营范围必须满足本次公开选取范围; 2.中介机构须具备土地规划乙级以上资质（含乙级）并入驻惠州市中介超市。
								点击查看资质专业要求"
,多个资质子项符合其一即可土地规划乙级土地规划
服务时限,合同签订之日至本项目验收完成为止。
服务金额,"￥921,100.00元"
金额说明,根据本项目规模和相关取费标准，服务金额为92.11万元。
直购企业,广州润哲土地规划咨询有限公司
截止报名时间,2020-07-20 11:30
采购单位电话,博罗县石坝镇人民政府（13927301176）
投诉质疑,博罗县行政服务中心（0752-6299308）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,2020年度惠州市博罗县石坝镇蓝田村等3个村现有耕地提质改造项目采购土地规划编制服务.pdf关于2020年度惠州市博罗县石坝镇蓝田村等3个村现有耕地提质改造项目直购广州润哲土地规划咨询有限公司土地规划的说明.pdf
