采购项目名称,阳光问廉全媒体直播节目,
采购项目编号,MYZC单（2018）34号,
采购方式,单一来源,
采购组织单位,绵阳市政府采购中心,
采购组织单位地址,绵阳市三江西路北段1号桃花岛商业街第4幢商业楼,
采购组织单位联系方式,交易组织评审科电话0816-2865208，现场监督科电话0816-2216017,
采购人,绵阳市监察委员会,
采购人地址,绵阳市高新区火炬大厦B区二楼,
采购人联系方式,15984658996,
项目联系人,任久伟,
项目联系电话,15984658996,
公告发布时间,2018年12月4日,
项目包个数,2,
成交日期,2018年12月3日,
本项目采购公告日期,2018年11月27日,
成交总金额（元）,698500,
成交详细内容,第1包:中标供应商名称:绵阳市广播电视台中标标的名称:《阳光问廉》全媒体直播服务要求:按本次单一来源文件的规定执行中标标的金额:599000元第2包:中标供应商名称:绵阳日报社中标标的名称:《阳光问廉》直播跟踪服务要求:按本次单一来源文件的规定执行中标标的金额:99500元中标、成交供应商应于本公告发出之日起5个工作日内，到绵阳市政务服务和公共资源交易服务中心交易组织评审科领取中标、成交通知书。,
成交供应商信息,第1包:绵阳市广播电视台，绵阳市涪城区一环路南段232号。第2包:绵阳日报社，绵阳市涪城区经开区群文街。,
评标委员会成员,王海、任久伟、强兴平,
项目用途、简要技术要求及合同履行日期,按本次单一来源文件的规定执行,
,
其他补充事宜,无,
候选人公告链接,无,
采购人和评审专家的推荐意见（采用书面推荐供应商参加的采购活动必填）,见评标报告,
评审情况,见评标报告,
备注,无,
PPP项目标识,否,
