采购单位,惠城区发展和改革局
项目名称,惠州市第三十九学校二期建设项目采购可行性研究报告评估服务
采购编号,4413020071914361811130175
项目规模,"投资额（￥72,800,000.00元）"
服务类型,工程项目咨询
服务内容,本次主要采购可行性研究报告评估服务，由评估机构组织召开专家评审会，由评审专家、评审机构共同对项目可行性研究报告中提出的项目建设必要性、项目建设内容、建设规模、建设方案、设备选型、投资估算、资金来源、资金筹措方案等开展评估工作，最终汇总各方意见，提出结论和建议并出具符合要求的评估报告。项目总投资7280万元，总建筑面积13119平方米，主要建设中学部教学楼、中学部功能楼、中学阶梯教室、风雨操场、校门、围墙、道路广场、绿化及其他附属配套工程。
资质要求,"中选企业必须在国家发展和改革委员会全国投资项目在线审批监管平台备案，资质专业为建筑且服务范围为评估咨询，暂无资信等级，须入驻惠州市中介超市（报名过程中如遇到问题，请联系惠州市中介超市管理办公室电话，0752-2809789）
								点击查看资质专业要求"
,需同时符合所有选中资质子项工程咨询暂无资信等级工程咨询专业资信建筑评估咨询
服务时限,中选且提供齐全必备资料后，在10个工作日内完成评估工作并提交《评估报告》。
服务金额,"￥24,800.00元
										至 ￥29,760.00元"
金额说明,本次评估收费下限是24800元，上限是29760元，最终结算价以本次中选报价为准（所报价格已包含所有与评估工作有关费用）
选取方式,网上竞价+随机抽取
选取地址,惠州市惠城区龙丰上排新联路5号行政服务中心一楼中介超市（选择到现场的中介机构需带营业执照或组织机构代码证复印件并加盖公章于公开选取时间前15分钟到中介超市咨询台登记）
截止报名时间,2018-11-16 17:30
选取时间,2018-11-19 09:40
采购单位电话,惠城区发展和改革局（0752-2386452，陈小姐）
投诉质疑,惠城区发展和改革局（0752-7809988）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,惠州市第三十九学校二期建设项目采购可行性研究报告评估服务需求书.pdf
