采购项目名称,四川省人民政府政务服务管理办公室四川省行政权力应用平台安全服务项目
采购项目编号,SCIT-ZG-20151290
采购方式,公开招标
行政区划,四川省
公告类型,结果公告
公告发布时间,2016-01-12 10:30
采购人,人民政府政务服务管理办公室
更正公告,
采购代理机构名称,四川国际招标有限责任公司
项目包个数,1
采购结果总金额,人民币63.8万元/年
定标日期,2016-01-11
各包中标/成交供应商名称、地址及报价,"中标供应商名称:成都市锐信安信息安全技术有限公司
中标金额:人民币63.8万元/年
地址:成都市高新区益州大道1800号G-1楼504室
服务内容:四川省行政权力应用平台安全服务
服务期限:三年"
各包合同履行日期,
评审委员会成员名单,"专家名单:曾昶，何伟明，彭升彦，金炜东; 
业主代表:周磊。"
采购人地址和联系方式,"采购人:四川省人民政府政务服务管理办公室
联 系 人:周老师
联系电话:028-86606126"
采购代理机构地址和联系方式,"地    址:四川省成都市高新区天府大道中段800号天府四街66号航兴国际广场1号楼17楼
邮    编:610041
传    真:028-87793161
开 户 行:中国建设银行成都市第一支行 
账    号:51001416108050912708"
采购项目联系人姓名和电话,"联 系 人:联 系 人:许小姐
联系电话:028-87797107,87796339,87793103,87797837-829"
候选人公告连接,http://www.sczfcg.com/view/staticpags/gkzbcggg/4028868751a5bdd90151ae245d6415eb.html
评审情况,9评审情况-公告附件.xls
备注,
