商品名称,计量单位,数量,配置,报价,预算,总价
富士施乐 CT202260 墨粉 黄色 1400页  适用:CP119w/118w/228w/CM118w/228fw,,1,,180.00,,180.00
"莱盛 LS-2040 碳粉TN-2115（适用于BROTHER 2040/2070,FAX2820,DCP7010/7025/7220/7420,联想2000）",,8,,70.00,,560.00
凯承高 3米音频线 手机电脑电视接音箱3米加长线 听歌音乐线延长线公对公,,2,,20.00,,40.00
富士施乐（Fuji Xerox）S1810/2010/2220/2420原装耗材墨粉盒硒鼓 CT351007感光鼓硒鼓,,1,,980.00,,980.00
富士施乐（Fuji Xerox）CP119w/118w/228w，CM118w/228fw黑色墨粉筒 粉盒 碳粉 耗材（富士施乐CT202257）,,1,,180.00,,180.00
富士施乐 S1810 S2010 定影下棍 施乐 1810 2010下辊 上轴 压力辊,,1,,380.00,,380.00
双飞燕（A4SCAN）OP-520NU针光USB接口有线鼠标,,1,,65.00,,65.00
"富士施乐（Fuji Xerox）CP119w/118w/228w,CM118w/228fw青色标准容量墨粉筒,粉盒,碳粉,耗材",,1,,180.00,,180.00
富士施乐 FUJI xerox 高容量墨粉 CT202259 (品红色) 适用于CM118w/CM228fw/CP118w/CP119w/CP228w,,1,,180.00,,180.00
富士施乐 CT201911大容量 墨粉盒 黑粉 (FujiXerox)适用于1810/2010/2220/2420复印机原装,,1,,380.00,,380.00
订单总价（元）,3125.00,
""
