采购单位,惠州市工程预结算审核中心
项目名称,水门桥下垃圾中转站（新站）采购工程预算审核服务
采购编号,4413007470954581506170004
项目规模,
服务类型,工程造价咨询
服务内容,水门桥下垃圾中转站（新站）工程预算送审金额20万元，本次采购服务内容是该项目的工程预算审核服务。
资质要求,"资质要求:报名参加本次采购服务的公司需取得国家住建部或省住建厅核发的《工程造价咨询资质证书》，资质等级为乙级以上并入驻惠州市中介超市。（报名过程如遇到问题，请联系惠州市中介超市管理办公室电话（0752-2809789）
								点击查看资质专业要求"
,多个资质子项符合其一即可工程造价咨询乙级工程造价咨询
服务时限,签订合同后10个工作日内完成
服务金额,"￥2,000.00元"
金额说明,本次采购服务金额由业主方按有关收费标准估算，按国家规定造价咨询不足2000元的按2000元计取。
选取方式,随机抽取
选取地址,惠州市惠城区云山西路8号大隆大厦三楼中介超市服务中心（行政服务中心三楼）（选择到现场的中介机构需带营业执照或组织机构代码证复印件并加盖公章于公开选取时间前15分钟到中介超市咨询台登记
截止报名时间,2015-06-19 11:30
选取时间,2015-06-19 15:40
采购单位电话,惠州市工程预结算审核中心（陈生 2881916）
投诉质疑,惠州市（0752-2809789）
监督举报,惠州市中介超市建设工作领导小组办公室 0752-2898785
采购需求书下载,财政评审公开选取需求书PDF.doc
